name,code,country
Alabama,US-AL,US
Alaska,US-AK,US
Alberta,CA-AB,CA
American Samoa,US-AS,US
Arizona,US-AZ,US
Arkansas,US-AR,US
British Columbia,CA-BC,CA
California,US-CA,US
Colorado,US-CO,US
Connecticut,US-CT,US
Delaware,US-DE,US
District Of Columbia,US-DC,US
Federated States Of Micronesia,US-FM,US
Florida,US-FL,US
Georgia,US-GA,US
Guam,US-GU,US
Hawaii,US-HI,US
Idaho,US-ID,US
Illinois,US-IL,US
Indiana,US-IN,US
Iowa,US-IA,US
Kansas,US-KS,US
Kentucky,US-KY,US
Louisiana,US-LA,US
Maine,US-ME,US
Manitoba,CA-MB,CA
Marshall Islands,US-MH,US
Maryland,US-MD,US
Massachusetts,US-MA,US
Michigan,US-MI,US
Minnesota,US-MN,US
Mississippi,US-MS,US
Missouri,US-MO,US
Montana,US-MT,US
Nebraska,US-NE,US
Nevada,US-NV,US
New Brunswick,CA-NB,CA
New Hampshire,US-NH,US
New Jersey,US-NJ,US
New Mexico,US-NM,US
New York,US-NY,US
Newfoundland and Labrador,CA-NL,CA
North Carolina,US-NC,US
North Dakota,US-ND,US
Northern Mariana Islands,US-MP,US
Northwest Territories,CA-NT,CA
Nova Scotia,CA-NS,CA
Nunavut,CA-NU,CA
Ohio,US-OH,US
Oklahoma,US-OK,US
Ontario,CA-ON,CA
Oregon,US-OR,US
Palau,US-PW,US
Pennsylvania,US-PA,US
Prince Edward Island,CA-PE,CA
Puerto Rico,US-PR,US
Quebec,CA-QC,CA
Rhode Island,US-RI,US
Saskatchewan,CA-SK,CA
South Carolina,US-SC,US
South Dakota,US-SD,US
Tennessee,US-TN,US
Texas,US-TX,US
Utah,US-UT,US
Vermont,US-VT,US
Virgin Islands,US-VI,US
Virginia,US-VA,US
Washington,US-WA,US
West Virginia,US-WV,US
Wisconsin,US-WI,US
Wyoming,US-WY,US
Yukon Territory,CA-YT,CA
